Source,Target,Type,Weight
publico,corporacao,Undirected,3.00
publico,operam,Undirected,3.00
publico,registro,Undirected,2.00
publico,pesquisa,Undirected,8.00
publico,ator,Undirected,2.00
publico,rede,Undirected,4.00
publico,agencia,Undirected,3.00
publico,politicas,Undirected,2.00
publico,tecnologia,Undirected,2.00
publico,pesquisador,Undirected,2.00
publico,escolhas,Undirected,4.00
publico,metodo,Undirected,6.00
publico,cadeia,Undirected,2.00
producao,sistema,Undirected,3.00
producao,conhecimento,Undirected,21.00
producao,cientifico,Undirected,2.00
producao,processo,Undirected,2.00
producao,presenca,Undirected,2.00
producao,mediacao,Undirected,4.00
producao,significa,Undirected,6.00
producao,ciencia,Undirected,8.00
producao,sociais,Undirected,2.00
producao,modos,Undirected,2.00
producao,visiveis,Undirected,4.00
producao,instrumentos,Undirected,2.00
producao,actante,Undirected,10.00
producao,ferramenta,Undirected,2.00
producao,rede,Undirected,6.00
producao,precisamente,Undirected,2.00
producao,descreve,Undirected,2.00
producao,relacoes,Undirected,4.00
efeitos,composicao,Undirected,10.00
efeitos,produz,Undirected,6.00
efeitos,mundo,Undirected,12.00
efeitos,nocao,Undirected,4.00
efeitos,pergunta,Undirected,2.00
efeitos,rede,Undirected,4.00
efeitos,alienacao,Undirected,2.00
efeitos,responsabilidade,Undirected,4.00
efeitos,processo,Undirected,4.00
efeitos,escrita,Undirected,2.00
efeitos,associacao,Undirected,4.00
efeitos,produzem,Undirected,6.00
efeitos,campo,Undirected,6.00
efeitos,parcial,Undirected,4.00
efeitos,modelo,Undirected,2.00
efeitos,condicao,Undirected,4.00
efeitos,problemas,Undirected,2.00
efeitos,pesquisa,Undirected,4.00
narrativa,pesquisador,Undirected,8.00
narrativa,presente,Undirected,3.00
narrativa,marcelo,Undirected,5.00
narrativa,pratica,Undirected,2.00
narrativa,cientifico,Undirected,2.00
narrativa,associacao,Undirected,2.00
narrativa,constituem,Undirected,6.00
narrativa,etnografia,Undirected,6.00
narrativa,visiveis,Undirected,2.00
narrativa,diagrama,Undirected,2.00
narrativa,produz,Undirected,8.00
narrativa,objeto,Undirected,6.00
narrativa,actante,Undirected,2.00
narrativa,construcao,Undirected,2.00
narrativa,mediacao,Undirected,4.00
narrativa,revelou,Undirected,2.00
narrativa,rede,Undirected,2.00
resposta,humano,Undirected,4.00
resposta,politicas,Undirected,6.00
resposta,claude,Undirected,2.00
resposta,experiencia,Undirected,4.00
resposta,processo,Undirected,4.00
resposta,problemas,Undirected,4.00
resposta,pesquisa,Undirected,8.00
resposta,centro,Undirected,4.00
resposta,cientista,Undirected,4.00
resposta,sociais,Undirected,6.00
resposta,social,Undirected,4.00
resposta,tecnico,Undirected,6.00
resposta,letramento,Undirected,2.00
resposta,pergunta,Undirected,4.00
notas,decisao,Undirected,2.00
notas,corte,Undirected,3.00
notas,rede,Undirected,4.00
notas,pontos,Undirected,3.00
notas,pesquisador,Undirected,5.00
notas,diagrama,Undirected,11.00
notas,modelo,Undirected,4.00
notas,campo,Undirected,24.00
notas,linguagem,Undirected,2.00
notas,simultaneamente,Undirected,6.00
notas,instituicao,Undirected,2.00
notas,operam,Undirected,4.00
notas,registro,Undirected,6.00
escolhas,cortes,Undirected,2.00
escolhas,objeto,Undirected,7.00
escolhas,etnografia,Undirected,2.00
escolhas,metodo,Undirected,8.00
escolhas,modelo,Undirected,4.00
escolhas,simultaneamente,Undirected,4.00
escolhas,humano,Undirected,12.00
escolhas,entidades,Undirected,4.00
escolhas,claude,Undirected,4.00
escolhas,construcao,Undirected,2.00
escolhas,resultados,Undirected,2.00
escolhas,tecnicos,Undirected,4.00
escolhas,torna,Undirected,2.00
escolhas,latour,Undirected,2.00
negociacoes,campo,Undirected,2.00
negociacoes,projeto,Undirected,3.00
negociacoes,computacional,Undirected,6.00
negociacoes,produzem,Undirected,2.00
negociacoes,mediacoes,Undirected,4.00
negociacoes,interlocutores,Undirected,4.00
negociacoes,gesto,Undirected,2.00
negociacoes,nenhum,Undirected,2.00
negociacoes,metodo,Undirected,4.00
negociacoes,distintas,Undirected,2.00
negociacoes,cientifico,Undirected,6.00
negociacoes,ausencia,Undirected,4.00
negociacoes,serem,Undirected,4.00
negociacoes,compreender,Undirected,2.00
negociacoes,etnografia,Undirected,6.00
ciencia,cientista,Undirected,3.00
ciencia,latour,Undirected,18.00
ciencia,acao,Undirected,17.00
ciencia,sociais,Undirected,100.00
ciencia,tecnologia,Undirected,27.00
ciencia,significa,Undirected,9.00
ciencia,conhecimento,Undirected,13.00
ciencia,pessoas,Undirected,2.00
ciencia,humano,Undirected,3.00
ciencia,responsabilidade,Undirected,2.00
ciencia,presente,Undirected,7.00
ciencia,pratica,Undirected,2.00
ciencia,construcao,Undirected,41.00
ciencia,pesquisa,Undirected,21.00
ciencia,percurso,Undirected,2.00
ciencia,dado,Undirected,44.00
ciencia,condicao,Undirected,4.00
ciencia,analise,Undirected,2.00
ciencia,questao,Undirected,2.00
ciencia,condicoes,Undirected,6.00
ciencia,instrumentos,Undirected,8.00
ciencia,inscricao,Undirected,4.00
ciencia,colaboracao,Undirected,2.00
ciencia,diagrama,Undirected,4.00
ciencia,campo,Undirected,12.00
ciencia,pesquisador,Undirected,12.00
ciencia,experiencia,Undirected,4.00
ciencia,possibilidade,Undirected,4.00
ciencia,etnografia,Undirected,10.00
ciencia,computacao,Undirected,18.00
ciencia,politica,Undirected,34.00
ciencia,inteligencia,Undirected,4.00
ciencia,artificial,Undirected,8.00
ciencia,decisao,Undirected,2.00
ciencia,metodo,Undirected,4.00
ciencia,recursos,Undirected,14.00
ciencia,observacao,Undirected,4.00
ciencia,objeto,Undirected,14.00
ciencia,compreender,Undirected,2.00
ciencia,relacao,Undirected,2.00
ciencia,ferramentas,Undirected,4.00
ciencia,conceituais,Undirected,6.00
ciencia,problemas,Undirected,2.00
ciencia,torna,Undirected,12.00
ciencia,social,Undirected,14.00
ciencia,estatistica,Undirected,18.00
ciencia,pergunta,Undirected,8.00
ciencia,computacional,Undirected,4.00
ciencia,aliancas,Undirected,4.00
ciencia,permitiu,Undirected,2.00
ciencia,licao,Undirected,6.00
ciencia,parte,Undirected,6.00
ciencia,precisamente,Undirected,6.00
ciencia,presenca,Undirected,8.00
ciencia,modelo,Undirected,4.00
ciencia,tecnica,Undirected,10.00
ciencia,tornava,Undirected,2.00
ciencia,tecnociencia,Undirected,8.00
ciencia,termos,Undirected,4.00
ciencia,constitui,Undirected,4.00
ciencia,ponto,Undirected,2.00
ferramenta,categorias,Undirected,2.00
ferramenta,humano,Undirected,14.00
ferramenta,maquina,Undirected,4.00
ferramenta,termos,Undirected,4.00
ferramenta,relacao,Undirected,2.00
ferramenta,alienacao,Undirected,4.00
ferramenta,existencias,Undirected,2.00
ferramenta,modos,Undirected,2.00
ferramenta,codigo,Undirected,6.00
ferramenta,inteligencia,Undirected,6.00
ferramenta,artificial,Undirected,4.00
ferramenta,entrevistas,Undirected,2.00
ferramenta,permitiu,Undirected,6.00
ferramenta,rede,Undirected,4.00
ferramenta,pesquisa,Undirected,4.00
ferramenta,treinamento,Undirected,2.00
ferramenta,spira,Undirected,4.00
ferramenta,modelo,Undirected,6.00
computacional,cientifico,Undirected,2.00
computacional,infraestrutura,Undirected,24.00
computacional,corporacao,Undirected,11.00
computacional,distintas,Undirected,9.00
computacional,analise,Undirected,2.00
computacional,corte,Undirected,2.00
computacional,humano,Undirected,5.00
computacional,dado,Undirected,9.00
computacional,rede,Undirected,3.00
computacional,pratica,Undirected,3.00
computacional,tecnicas,Undirected,2.00
computacional,regra,Undirected,4.00
computacional,latour,Undirected,2.00
computacional,registro,Undirected,4.00
computacional,spira,Undirected,2.00
computacional,laboratorio,Undirected,4.00
computacional,objeto,Undirected,2.00
computacional,social,Undirected,6.00
computacional,pesquisa,Undirected,6.00
computacional,modelo,Undirected,6.00
computacional,politicas,Undirected,6.00
computacional,nenhum,Undirected,2.00
computacional,artificial,Undirected,2.00
opera,corte,Undirected,3.00
opera,acao,Undirected,2.00
opera,simetria,Undirected,10.00
opera,conteudo,Undirected,12.00
opera,visivel,Undirected,2.00
opera,mediacao,Undirected,6.00
opera,claude,Undirected,12.00
opera,epistemica,Undirected,8.00
opera,pesquisador,Undirected,18.00
opera,sociais,Undirected,6.00
opera,alienacao,Undirected,6.00
opera,simondon,Undirected,2.00
opera,composicao,Undirected,6.00
opera,faire,Undirected,10.00
opera,precisamente,Undirected,4.00
opera,responsabilidade,Undirected,2.00
opera,latour,Undirected,6.00
opera,regra,Undirected,6.00
opera,metodo,Undirected,4.00
opera,revelou,Undirected,4.00
opera,instituicao,Undirected,4.00
opera,letramento,Undirected,6.00
opera,social,Undirected,4.00
opera,tecnico,Undirected,2.00
categorias,composicao,Undirected,6.00
categorias,teoria,Undirected,6.00
categorias,ator,Undirected,4.00
categorias,rede,Undirected,2.00
categorias,social,Undirected,4.00
categorias,tecnico,Undirected,2.00
categorias,ponto,Undirected,4.00
fato,operam,Undirected,3.00
fato,conceito,Undirected,2.00
fato,humano,Undirected,2.00
fato,pesquisa,Undirected,8.00
fato,condicao,Undirected,2.00
fato,cientista,Undirected,6.00
fato,sociais,Undirected,6.00
fato,inteligencia,Undirected,6.00
fato,artificial,Undirected,4.00
escolha,claude,Undirected,12.00
escolha,constitui,Undirected,2.00
escolha,colaboracao,Undirected,2.00
escolha,generativa,Undirected,4.00
escolha,metodo,Undirected,24.00
escolha,parentesco,Undirected,2.00
escolha,possibilidade,Undirected,2.00
escolha,recusa,Undirected,4.00
escolha,pesquisa,Undirected,2.00
escolha,composicao,Undirected,4.00
escolha,inteligencia,Undirected,2.00
escolha,conteudo,Undirected,4.00
escolha,centro,Undirected,2.00
escolha,conceitos,Undirected,6.00
escolha,cientifico,Undirected,6.00
estatistica,mediacao,Undirected,6.00
estatistica,centro,Undirected,4.00
estatistica,pesquisador,Undirected,4.00
estatistica,maquina,Undirected,4.00
estatistica,dado,Undirected,12.00
estatistica,observacao,Undirected,2.00
estatistica,revelou,Undirected,6.00
estatistica,pesquisa,Undirected,4.00
estatistica,campo,Undirected,2.00
constituem,rede,Undirected,2.00
constituem,associacao,Undirected,16.00
constituem,descrever,Undirected,4.00
constituem,existencias,Undirected,2.00
constituem,claude,Undirected,6.00
constituem,existe,Undirected,4.00
constituem,politicas,Undirected,2.00
constituem,acesso,Undirected,6.00
constituem,percurso,Undirected,2.00
constituem,humano,Undirected,4.00
constituem,nocao,Undirected,4.00
constituem,simetria,Undirected,2.00
constituem,diagrama,Undirected,4.00
constituem,inscricao,Undirected,6.00
constituem,relacoes,Undirected,2.00
constituem,ideia,Undirected,4.00
constituem,etnografia,Undirected,6.00
constituem,campo,Undirected,2.00
constituem,metodo,Undirected,4.00
decisoes,rede,Undirected,2.00
decisoes,modelo,Undirected,10.00
decisoes,metodo,Undirected,6.00
decisoes,pratica,Undirected,2.00
decisoes,termos,Undirected,2.00
decisoes,descreve,Undirected,3.00
decisoes,existencia,Undirected,2.00
decisoes,parcial,Undirected,4.00
decisoes,humano,Undirected,30.00
decisoes,processo,Undirected,4.00
decisoes,construcao,Undirected,2.00
decisoes,linguagem,Undirected,2.00
decisoes,existe,Undirected,4.00
decisoes,latour,Undirected,2.00
decisoes,claude,Undirected,4.00
decisoes,objeto,Undirected,6.00
decisoes,dado,Undirected,2.00
decisoes,politicas,Undirected,4.00
decisoes,infraestrutura,Undirected,6.00
decisoes,pesquisa,Undirected,4.00
decisoes,conceituais,Undirected,8.00
decisoes,sistemas,Undirected,2.00
decisoes,epistemica,Undirected,4.00
decisoes,responsabilidade,Undirected,6.00
decisoes,maquina,Undirected,4.00
decisoes,instituicao,Undirected,2.00
decisoes,composicao,Undirected,4.00
decisoes,pesquisador,Undirected,6.00
decisoes,epistemologia,Undirected,6.00
etnografia,presente,Undirected,3.00
etnografia,registro,Undirected,3.00
etnografia,centro,Undirected,25.00
etnografia,inteligencia,Undirected,8.00
etnografia,artificial,Undirected,5.00
etnografia,objeto,Undirected,16.00
etnografia,tecnologia,Undirected,2.00
etnografia,descricao,Undirected,9.00
etnografia,metodo,Undirected,8.00
etnografia,pratica,Undirected,11.00
etnografia,pergunta,Undirected,8.00
etnografia,diferentes,Undirected,3.00
etnografia,cortes,Undirected,2.00
etnografia,simultaneamente,Undirected,3.00
etnografia,resultados,Undirected,2.00
etnografia,partir,Undirected,6.00
etnografia,claude,Undirected,10.00
etnografia,pesquisador,Undirected,2.00
etnografia,tornou,Undirected,2.00
etnografia,possibilidade,Undirected,10.00
etnografia,cadeia,Undirected,6.00
etnografia,spira,Undirected,2.00
etnografia,composicao,Undirected,4.00
etnografia,generativa,Undirected,4.00
etnografia,dado,Undirected,18.00
etnografia,pesquisa,Undirected,18.00
etnografia,condicao,Undirected,2.00
etnografia,conhecimento,Undirected,6.00
etnografia,mediacoes,Undirected,6.00
etnografia,tecnicas,Undirected,4.00
etnografia,campo,Undirected,2.00
etnografia,experiencia,Undirected,4.00
etnografia,entrevistas,Undirected,4.00
etnografia,visiveis,Undirected,4.00
etnografia,inscricao,Undirected,6.00
etnografia,codigo,Undirected,2.00
etnografia,modelo,Undirected,2.00
etnografia,relacoes,Undirected,8.00
etnografia,linguagem,Undirected,2.00
etnografia,tecnociencia,Undirected,4.00
etnografia,trata,Undirected,2.00
etnografia,condicoes,Undirected,4.00
etnografia,construcao,Undirected,12.00
etnografia,politica,Undirected,4.00
etnografia,laboratorio,Undirected,6.00
etnografia,revelou,Undirected,2.00
etnografia,rede,Undirected,12.00
etnografia,percurso,Undirected,6.00
etnografia,letramento,Undirected,6.00
etnografia,observacao,Undirected,12.00
etnografia,tecnico,Undirected,4.00
etnografia,licao,Undirected,6.00
etnografia,gesto,Undirected,2.00
etnografia,compreender,Undirected,4.00
conceito,metodo,Undirected,5.00
conceito,actante,Undirected,2.00
conceito,humano,Undirected,3.00
conceito,vocabulario,Undirected,2.00
conceito,parcial,Undirected,2.00
conceito,rede,Undirected,5.00
conceito,modos,Undirected,4.00
conceito,existencia,Undirected,6.00
conceito,ator,Undirected,6.00
conceito,teorico,Undirected,2.00
conceito,formulacoes,Undirected,4.00
conceito,tecnicos,Undirected,6.00
conceito,propoe,Undirected,10.00
conceito,inscricao,Undirected,12.00
conceito,laboratorio,Undirected,4.00
conceito,ideia,Undirected,2.00
conceito,diferentes,Undirected,2.00
alienacao,simondon,Undirected,14.00
alienacao,rede,Undirected,6.00
alienacao,tecnica,Undirected,24.00
alienacao,letramento,Undirected,4.00
alienacao,sistemas,Undirected,4.00
alienacao,tecnicos,Undirected,6.00
alienacao,sociais,Undirected,4.00
alienacao,precisamente,Undirected,2.00
ferramentas,generativa,Undirected,6.00
ferramentas,modelo,Undirected,6.00
ferramentas,aliancas,Undirected,2.00
ferramentas,maquina,Undirected,4.00
ferramentas,dado,Undirected,2.00
ferramentas,familiaridade,Undirected,4.00
ferramentas,campo,Undirected,4.00
ferramentas,pesquisador,Undirected,6.00
ferramentas,inteligencia,Undirected,6.00
ferramentas,artificial,Undirected,4.00
ferramentas,trata,Undirected,2.00
ferramentas,tecnologia,Undirected,4.00
ferramentas,conceituais,Undirected,6.00
ferramentas,sociais,Undirected,2.00
maquina,problemas,Undirected,2.00
maquina,computacao,Undirected,3.00
maquina,existencias,Undirected,4.00
maquina,parciais,Undirected,6.00
maquina,composicao,Undirected,4.00
maquina,humano,Undirected,50.00
maquina,artificial,Undirected,4.00
maquina,conceitos,Undirected,2.00
maquina,linguagem,Undirected,2.00
maquina,pensamento,Undirected,8.00
maquina,escrita,Undirected,6.00
maquina,agencia,Undirected,6.00
maquina,distribuida,Undirected,4.00
maquina,sistemas,Undirected,2.00
maquina,vocabulario,Undirected,8.00
maquina,entidades,Undirected,18.00
maquina,conversa,Undirected,2.00
maquina,pratica,Undirected,6.00
maquina,pergunta,Undirected,6.00
maquina,operam,Undirected,4.00
maquina,ontologia,Undirected,6.00
maquina,latour,Undirected,4.00
maquina,precisamente,Undirected,10.00
maquina,ponto,Undirected,6.00
maquina,trata,Undirected,2.00
maquina,aliancas,Undirected,6.00
maquina,termos,Undirected,2.00
tecnica,rede,Undirected,4.00
tecnica,letramento,Undirected,6.00
tecnica,simondon,Undirected,6.00
tecnica,sistemas,Undirected,2.00
tecnica,precisamente,Undirected,4.00
tecnica,pesquisador,Undirected,4.00
tecnica,mediacao,Undirected,6.00
tecnica,modelo,Undirected,6.00
tecnica,condicoes,Undirected,4.00
tecnica,epistemica,Undirected,4.00
tecnica,social,Undirected,6.00
tecnica,associacao,Undirected,6.00
tecnica,licao,Undirected,2.00
tecnica,permitiu,Undirected,6.00
tecnica,trata,Undirected,4.00
tecnica,instituicao,Undirected,2.00
tecnica,colaboracao,Undirected,4.00
tecnica,vocabulario,Undirected,4.00
tecnica,campo,Undirected,4.00
tecnica,linguagem,Undirected,12.00
tecnica,epistemologia,Undirected,2.00
tecnica,parte,Undirected,2.00
tecnica,politica,Undirected,2.00
tecnica,termos,Undirected,6.00
tecnica,tecnociencia,Undirected,4.00
construcao,presente,Undirected,2.00
construcao,pratica,Undirected,6.00
construcao,pesquisa,Undirected,24.00
construcao,pesquisador,Undirected,8.00
construcao,projetos,Undirected,3.00
construcao,ausencia,Undirected,2.00
construcao,instituicao,Undirected,3.00
construcao,rede,Undirected,13.00
construcao,multiplicidade,Undirected,2.00
construcao,humano,Undirected,4.00
construcao,dado,Undirected,4.00
construcao,treinamento,Undirected,2.00
construcao,modelo,Undirected,10.00
construcao,processo,Undirected,6.00
construcao,linguagem,Undirected,6.00
construcao,parentesco,Undirected,6.00
construcao,claude,Undirected,4.00
construcao,constitui,Undirected,2.00
construcao,modos,Undirected,6.00
construcao,existencia,Undirected,4.00
construcao,escrita,Undirected,2.00
construcao,relacao,Undirected,4.00
construcao,experiencia,Undirected,4.00
construcao,inteligencia,Undirected,12.00
construcao,artificial,Undirected,14.00
construcao,actante,Undirected,2.00
construcao,diagrama,Undirected,6.00
construcao,inscricao,Undirected,4.00
construcao,possibilidade,Undirected,2.00
construcao,simetria,Undirected,2.00
construcao,acao,Undirected,4.00
construcao,latour,Undirected,2.00
construcao,significa,Undirected,6.00
construcao,laboratorio,Undirected,2.00
construcao,observacao,Undirected,2.00
construcao,acesso,Undirected,2.00
construcao,associacao,Undirected,4.00
construcao,ator,Undirected,2.00
construcao,relacoes,Undirected,4.00
construcao,centro,Undirected,8.00
construcao,sistema,Undirected,6.00
construcao,sociais,Undirected,4.00
construcao,problemas,Undirected,6.00
problema,teorico,Undirected,6.00
problema,rede,Undirected,2.00
problema,metodo,Undirected,4.00
problema,centro,Undirected,2.00
problema,acesso,Undirected,6.00
problema,epistemologia,Undirected,4.00
problema,precisamente,Undirected,2.00
problema,parentesco,Undirected,6.00
problema,existencias,Undirected,2.00
problema,mediacao,Undirected,2.00
problema,partir,Undirected,4.00
problema,trata,Undirected,4.00
problema,relacao,Undirected,4.00
problema,gesto,Undirected,2.00
problema,propoe,Undirected,6.00
problema,conceitos,Undirected,4.00
problema,spira,Undirected,6.00
problema,objeto,Undirected,4.00
problema,tecnico,Undirected,6.00
problema,inteligencia,Undirected,4.00
problema,artificial,Undirected,6.00
problema,letramento,Undirected,6.00
problema,torna,Undirected,2.00
ausencia,presente,Undirected,2.00
ausencia,corporacao,Undirected,3.00
ausencia,pratica,Undirected,4.00
ausencia,projetos,Undirected,3.00
ausencia,observacao,Undirected,2.00
ausencia,presenca,Undirected,23.00
ausencia,temporal,Undirected,2.00
ausencia,campo,Undirected,6.00
ausencia,pesquisa,Undirected,2.00
ausencia,metodo,Undirected,2.00
ausencia,revelou,Undirected,2.00
ausencia,computacao,Undirected,4.00
ausencia,instituicao,Undirected,4.00
ausencia,colaboracao,Undirected,2.00
ausencia,modelo,Undirected,4.00
objeto,mundo,Undirected,10.00
objeto,latour,Undirected,9.00
objeto,pergunta,Undirected,11.00
objeto,tecnologia,Undirected,2.00
objeto,torna,Undirected,9.00
objeto,tecnicos,Undirected,20.00
objeto,tecnico,Undirected,6.00
objeto,instituicao,Undirected,3.00
objeto,rede,Undirected,7.00
objeto,vocabulario,Undirected,6.00
objeto,tornou,Undirected,3.00
objeto,relacao,Undirected,8.00
objeto,visivel,Undirected,3.00
objeto,corte,Undirected,4.00
objeto,produz,Undirected,10.00
objeto,diferentes,Undirected,13.00
objeto,pratica,Undirected,11.00
objeto,distintas,Undirected,3.00
objeto,possibilidade,Undirected,3.00
objeto,produzem,Undirected,4.00
objeto,versoes,Undirected,2.00
objeto,relacoes,Undirected,4.00
objeto,centro,Undirected,3.00
objeto,projeto,Undirected,2.00
objeto,claude,Undirected,32.00
objeto,modelo,Undirected,8.00
objeto,politicas,Undirected,2.00
objeto,colaboracao,Undirected,2.00
objeto,existe,Undirected,6.00
objeto,multiplicidade,Undirected,6.00
objeto,ontologia,Undirected,10.00
objeto,condicao,Undirected,4.00
objeto,nenhum,Undirected,4.00
objeto,simultaneamente,Undirected,2.00
objeto,escrita,Undirected,6.00
objeto,metodo,Undirected,4.00
objeto,conhecimento,Undirected,2.00
objeto,diagrama,Undirected,6.00
objeto,instrumentos,Undirected,4.00
objeto,analise,Undirected,6.00
objeto,composicao,Undirected,4.00
objeto,pesquisador,Undirected,10.00
objeto,modos,Undirected,6.00
objeto,pesquisa,Undirected,16.00
objeto,inteligencia,Undirected,2.00
objeto,spira,Undirected,6.00
objeto,existencias,Undirected,2.00
objeto,social,Undirected,16.00
objeto,sistemas,Undirected,2.00
objeto,sociais,Undirected,6.00
objeto,laboratorio,Undirected,6.00
generativa,inteligencia,Undirected,8.00
generativa,artificial,Undirected,12.00
generativa,significa,Undirected,2.00
generativa,agencia,Undirected,2.00
generativa,distribuida,Undirected,4.00
generativa,sistemas,Undirected,12.00
generativa,claude,Undirected,10.00
generativa,tecnicos,Undirected,2.00
generativa,ideia,Undirected,6.00
generativa,campo,Undirected,2.00
generativa,colaboracao,Undirected,6.00
generativa,metodo,Undirected,4.00
generativa,partir,Undirected,4.00
generativa,pratica,Undirected,4.00
generativa,escrita,Undirected,2.00
generativa,composicao,Undirected,6.00
generativa,dado,Undirected,6.00
generativa,pesquisa,Undirected,4.00
compreender,mundo,Undirected,2.00
compreender,teorico,Undirected,4.00
compreender,capaz,Undirected,6.00
compreender,pessoas,Undirected,6.00
compreender,sistemas,Undirected,10.00
compreender,inteligencia,Undirected,4.00
compreender,artificial,Undirected,2.00
compreender,tecnico,Undirected,2.00
compreender,tornava,Undirected,4.00
compreender,pesquisador,Undirected,6.00
compreender,letramento,Undirected,6.00
compreender,instrumentos,Undirected,6.00
compreender,responsabilidade,Undirected,6.00
compreender,computacao,Undirected,2.00
compreender,latour,Undirected,4.00
compreender,interlocutores,Undirected,6.00
compreender,termos,Undirected,4.00
compreender,tecnologia,Undirected,2.00
compreender,campo,Undirected,4.00
capaz,teorico,Undirected,6.00
capaz,pessoas,Undirected,4.00
capaz,sistemas,Undirected,2.00
capaz,actante,Undirected,2.00
capaz,teria,Undirected,6.00
capaz,faire,Undirected,6.00
capaz,nocao,Undirected,2.00
capaz,tecnologia,Undirected,6.00
capaz,conhecimento,Undirected,2.00
capaz,relacoes,Undirected,4.00
capaz,questao,Undirected,4.00
processo,pesquisa,Undirected,3.00
processo,inscricao,Undirected,2.00
processo,entrevistas,Undirected,2.00
processo,humano,Undirected,2.00
processo,modelo,Undirected,10.00
processo,linguagem,Undirected,2.00
processo,constitui,Undirected,4.00
processo,composicao,Undirected,16.00
processo,produz,Undirected,6.00
processo,escrita,Undirected,10.00
processo,relacao,Undirected,4.00
processo,nenhum,Undirected,2.00
processo,formulacoes,Undirected,2.00
processo,metodo,Undirected,4.00
processo,inteligencia,Undirected,4.00
processo,artificial,Undirected,6.00
processo,rede,Undirected,2.00
processo,letramento,Undirected,6.00
processo,revelou,Undirected,6.00
processo,relacoes,Undirected,4.00
processo,campo,Undirected,2.00
cientista,laboratorio,Undirected,25.00
cientista,pesquisa,Undirected,7.00
cientista,acao,Undirected,2.00
cientista,aliancas,Undirected,2.00
cientista,interlocutores,Undirected,3.00
cientista,significa,Undirected,6.00
cientista,social,Undirected,24.00
cientista,tecnico,Undirected,8.00
cientista,inteligencia,Undirected,4.00
cientista,computacao,Undirected,38.00
cientista,pesquisador,Undirected,2.00
cientista,sociais,Undirected,50.00
cientista,artificial,Undirected,2.00
cientista,conhecimento,Undirected,2.00
cientista,pergunta,Undirected,4.00
